Scheduler,Throughput
BATS,2.287968
BATS,2.290656
BATS,1.1984
BATS,1.190144
BATS,1.194752
BATS,1.1896
BATS,1.192672
BATS,1.331872
BATS,1.334144
BATS,1.33536
BATS,1.336992
BATS,1.333344
BATS,2.647872
BATS,2.636704
BATS,2.649952
BATS,2.633888
BATS,2.630752
BATS,2.296576
BATS,2.29072
BATS,2.290624
BATS,2.286496
BATS,2.296544
BATS,1.189088
BATS,1.19456
BATS,1.193312
BATS,1.198208
BATS,1.19488
BATS,1.333856
BATS,1.333536
BATS,1.338528
BATS,1.329728
BATS,1.338752
BATS,2.640288
BATS,2.642912
BATS,2.639616
BATS,2.63072
BATS,2.641568
BATS,2.29072
BATS,2.296576
BATS,2.290688
BATS,2.287968
BATS,2.290688
BATS,1.196832
BATS,1.195072
BATS,1.199776
BATS,1.187296
BATS,1.190496
BATS,1.333184
BATS,1.333024
BATS,1.33648
BATS,1.33264
BATS,1.333536
BATS,2.641056
BATS,2.632512
BATS,2.643584
BATS,2.636448
BATS,2.650336
BATS,2.290592
BATS,2.29072
BATS,2.296544
BATS,2.287968
BATS,2.290688
BATS,1.187904
BATS,1.19536
BATS,1.19168
BATS,1.197792
BATS,1.194784
BATS,1.332
BATS,1.333504
BATS,1.328256
BATS,1.340672
BATS,1.343168
BATS,2.638624
BATS,2.645408
BATS,2.641856
BATS,2.639584
BATS,2.631264
BATS,2.296576
BATS,2.290592
BATS,2.29072
BATS,2.287968
BATS,2.29072
BATS,1.193408
BATS,1.19664
BATS,1.197536
BATS,1.1896
BATS,1.192544
BATS,1.335392
BATS,1.334016
BATS,1.340224
BATS,1.328736
BATS,1.333504
BATS,2.643744
BATS,2.62912
BATS,2.627968
BATS,2.648032
BATS,2.647744
BATS,2.290688
BATS,2.290656
BATS,2.29072
BATS,2.288032
BATS,2.29664
BATS,1.198688
BATS,1.194784
BATS,1.188288
BATS,1.195712
BATS,1.189792
BATS,1.331424
BATS,1.33344
BATS,1.332832
BATS,1.336128
BATS,1.338496
BATS,2.629248
BATS,2.636896
BATS,2.653984
BATS,2.636704
BATS,2.6408
BATS,2.29072
BATS,2.296608
BATS,2.29664
BATS,2.286432
BATS,2.290688
BATS,1.19232
BATS,1.194688
BATS,1.194688
BATS,1.190112
BATS,1.1968
BATS,1.333792
BATS,1.331776
BATS,1.33632
BATS,1.336768
BATS,1.333184
BATS,2.646848
BATS,2.640384
BATS,2.638528
BATS,2.63936
BATS,2.638784
BATS,2.29664
BATS,2.29072
BATS,2.29072
BATS,2.287968
BATS,2.290688
BATS,1.188704
BATS,1.192672
BATS,1.192864
BATS,1.197472
BATS,1.194656
BATS,1.332896
BATS,1.332704
BATS,1.333632
BATS,1.332032
BATS,1.343584
BATS,2.6472
BATS,2.636832
BATS,2.638496
BATS,2.637184
BATS,2.637056
BATS,2.29072
BATS,2.29072
BATS,2.290688
BATS,2.288032
BATS,2.296576
BATS,1.197472
BATS,1.192288
BATS,1.200032
BATS,1.189568
BATS,1.188672
BATS,1.333088
BATS,1.33248
BATS,1.328608
BATS,1.339072
BATS,1.334176
BATS,2.640224
BATS,2.646208
BATS,2.639616
BATS,2.627488
BATS,2.641664
BATS,2.290688
BATS,2.29664
BATS,2.29072
BATS,2.287968
BATS,2.290688
BATS,1.194304
BATS,1.191904
BATS,1.189728
BATS,1.197088
BATS,1.192608
BATS,1.33344
BATS,1.33376
BATS,1.333472
BATS,1.3344
BATS,1.33808
BATS,2.641568
BATS,2.629312
BATS,2.643584
BATS,2.639776
BATS,2.650368
BATS,2.29072
BATS,2.290688
BATS,2.296576
BATS,2.287968
BATS,2.290656
BATS,1.189664
BATS,1.198304
BATS,1.1992
BATS,1.192864
BATS,1.19488
BATS,1.333504
BATS,1.332672
BATS,1.33376
BATS,1.335392
BATS,1.333344
BATS,2.638624
BATS,2.648192
BATS,2.641856
BATS,2.636512
BATS,2.630592
BATS,2.296576
BATS,2.29072
BATS,2.290624
BATS,2.286432
BATS,2.296544
BATS,1.195328
BATS,1.195264
BATS,1.190912
BATS,1.195072
BATS,1.192576
BATS,1.332832
BATS,1.333024
BATS,1.336096
BATS,1.333568
BATS,1.33328
BATS,2.64384
BATS,2.626336
BATS,2.627968
BATS,2.647616
BATS,2.654112
BATS,2.29072
BATS,2.296608
BATS,2.290688
BATS,2.288032
BATS,2.290688
BATS,1.190528
BATS,1.192768
BATS,1.19584
BATS,1.193824
BATS,1.19856
BATS,1.332192
BATS,1.33328
BATS,1.33344
BATS,1.332928
BATS,1.34368
BATS,2.629088
BATS,2.63696
BATS,2.653984
BATS,2.64032
BATS,2.634848
BATS,2.290592
BATS,2.290688
BATS,2.296544
BATS,2.287968
BATS,2.290688
BATS,1.198848
BATS,1.19488
BATS,1.198496
BATS,1.188864
BATS,1.18912
BATS,1.333216
BATS,1.334912
BATS,1.339584
BATS,1.330112
BATS,1.334368
BATS,2.652352
BATS,2.640448
BATS,2.638528
BATS,2.639168
BATS,2.632416
BATS,2.296576
BATS,2.290592
BATS,2.29072
BATS,2.287968
BATS,2.29072
BATS,1.192512
BATS,1.188992
BATS,1.194432
BATS,1.193376
BATS,1.196672
BATS,1.332384
BATS,1.332
BATS,1.334144
BATS,1.33696
BATS,1.33856
BATS,2.641664
BATS,2.636768
BATS,2.638496
BATS,2.637152
BATS,2.643584
BATS,2.290688
BATS,2.296576
BATS,2.29072
BATS,2.286496
BATS,2.29664
BATS,1.188864
BATS,1.195104
BATS,1.1944
BATS,1.19712
BATS,1.192928
BATS,1.32816
BATS,1.337504
BATS,1.333248
BATS,1.336608
BATS,1.333952
BATS,2.628384
BATS,2.649312
BATS,2.646016
BATS,2.627392
BATS,2.641632
BATS,2.29072
BATS,2.290688
BATS,2.29664
BATS,2.287968
BATS,2.290688
BATS,1.193696
BATS,1.197056
BATS,1.1872
BATS,1.192352
BATS,1.19472
BATS,1.334176
BATS,1.333344
BATS,1.330528
BATS,1.336608
BATS,1.338752
BATS,2.653536
BATS,2.62624
BATS,2.637184
BATS,2.639744
BATS,2.650176
BATS,2.29664
BATS,2.29072
BATS,2.29072
BATS,2.287968
BATS,2.290688
BATS,1.195744
BATS,1.194784
BATS,1.199168
BATS,1.189792
BATS,1.188864
BATS,1.332
BATS,1.333344
BATS,1.33536
BATS,1.332224
BATS,1.338848
BATS,2.638528
BATS,2.651392
BATS,2.641856
BATS,2.633376
BATS,2.630688
BATS,2.29072
BATS,2.29072
BATS,2.290688
BATS,2.287968
BATS,2.296576
BATS,1.192352
BATS,1.194624
BATS,1.190944
BATS,1.1976
BATS,1.192928
BATS,1.333696
BATS,1.33344
BATS,1.338656
BATS,1.330368
BATS,1.338176
BATS,2.637728
BATS,2.626112
BATS,2.627968
BATS,2.650816
BATS,2.654176
BATS,2.290688
BATS,2.29664
BATS,2.29072
BATS,2.288032
BATS,2.29072
BATS,1.196448
BATS,1.195264
BATS,1.197056
BATS,1.187776
BATS,1.192384
BATS,1.332896
BATS,1.333952
BATS,1.334304
BATS,1.335776
BATS,1.329152
BATS,2.64176
BATS,2.637088
BATS,2.653984
BATS,2.634016
BATS,2.6344
BATS,2.29664
BATS,2.290688
BATS,2.296576
BATS,2.286432
BATS,2.290624
BATS,1.18864
BATS,1.192448
BATS,1.189408
BATS,1.196992
BATS,1.198944
BATS,1.333024
BATS,1.333216
BATS,1.336416
BATS,1.332576
BATS,1.338304
BATS,2.651744
BATS,2.640448
BATS,2.632128
BATS,2.641984
